休旅車,"<img src=""休旅車.jpg""/>{{c1::休旅車}}",<div>休旅車</div><div>遊艇</div><div>郵政車</div><div>雙層巴士</div>
傾卸卡車,"<img src=""傾卸卡車.jpg""/>{{c1::傾卸卡車}}",<div>傾卸卡車</div><div>飛機</div><div>賽車</div><div>熱氣球</div>
卡車,"<img src=""卡車.jpg""/>{{c1::卡車}}",<div>卡車</div><div>貨車</div><div>腳踏車</div><div>郵政車</div>
吉普車,"<img src=""吉普車.jpg""/>{{c1::吉普車}}",<div>吉普車</div><div>水泥攪拌車</div><div>輕型飛機</div><div>拖吊車</div>
坦克車,"<img src=""坦克車.jpg""/>{{c1::坦克車}}",<div>坦克車</div><div>纜車</div><div>郵政車</div><div>垃圾車</div>
垃圾車,"<img src=""垃圾車.jpg""/>{{c1::垃圾車}}",<div>垃圾車</div><div>飛行傘</div><div>直升機</div><div>郵政車</div>
堆高機,"<img src=""堆高機.jpg""/>{{c1::堆高機}}",<div>堆高機</div><div>淺水艇</div><div>傾卸卡車</div><div>獨木舟</div>
壓路機,"<img src=""壓路機.jpg""/>{{c1::壓路機}}",<div>壓路機</div><div>火車</div><div>拖吊車</div><div>郵輪</div>
太空梭,"<img src=""太空梭.jpg""/>{{c1::太空梭}}",<div>太空梭</div><div>傾卸卡車</div><div>摩托車</div><div>垃圾車</div>
娃娃車,"<img src=""娃娃車.jpg""/>{{c1::娃娃車}}",<div>娃娃車</div><div>坦克車</div><div>拖船</div><div>獨木舟</div>
帆船,"<img src=""帆船.jpg""/>{{c1::帆船}}",<div>帆船</div><div>雙層巴士</div><div>水泥攪拌車</div><div>垃圾車</div>
拖吊車,"<img src=""拖吊車.jpg""/>{{c1::拖吊車}}",<div>拖吊車</div><div>淺水艇</div><div>堆高機</div><div>輕型飛機</div>
拖船,"<img src=""拖船.jpg""/>{{c1::拖船}}",<div>拖船</div><div>火車</div><div>堆高機</div><div>高速列車</div>
摩托車,"<img src=""摩托車.jpg""/>{{c1::摩托車}}",<div>摩托車</div><div>熱氣球</div><div>娃娃車</div><div>貨櫃車</div>
水泥攪拌車,"<img src=""水泥攪拌車.jpg""/>{{c1::水泥攪拌車}}",<div>水泥攪拌車</div><div>郵輪</div><div>熱氣球</div><div>腳踏車</div>
汽車,"<img src=""汽車.jpg""/>{{c1::汽車}}",<div>汽車</div><div>腳踏車</div><div>郵輪</div><div>坦克車</div>
汽車運輸車,"<img src=""汽車運輸車.jpg""/>{{c1::汽車運輸車}}",<div>汽車運輸車</div><div>堆高機</div><div>郵輪</div><div>遊艇</div>
油罐車,"<img src=""油罐車.jpg""/>{{c1::油罐車}}",<div>油罐車</div><div>拖船</div><div>貨櫃船</div><div>高速列車</div>
淺水艇,"<img src=""淺水艇.jpg""/>{{c1::淺水艇}}",<div>淺水艇</div><div>貨櫃船</div><div>休旅車</div><div>飛機</div>
